WARD,month,permits
4,2014-10,8
4,2014-11,2
4,2015-01,1
4,2015-02,4
4,2015-03,3
4,2015-04,2
4,2015-05,8
4,2015-06,10
4,2015-07,11
4,2015-08,6
4,2015-09,10
4,2015-10,9
4,2015-11,5
4,2015-12,5
4,2016-02,1
4,2016-03,2
4,2016-04,5
4,2016-05,13
4,2016-06,19
4,2016-07,7
4,2016-08,14
4,2016-09,10
4,2016-10,11
4,2016-11,5
4,2016-12,4
4,2017-01,3
4,2017-02,3
4,2017-03,13
4,2017-04,10
4,2017-05,10
4,2017-06,13
4,2017-07,12
4,2017-08,7
4,2017-09,16
4,2017-10,9
4,2017-11,12
4,2018-01,2
4,2018-02,1
4,2018-03,4
4,2018-04,11
4,2018-05,14
4,2018-06,20
4,2018-07,8
4,2018-08,18
4,2018-09,10
4,2018-10,7
4,2018-11,2
4,2018-12,5
4,2019-01,2
4,2019-02,5
4,2019-03,1
4,2019-04,10
4,2019-05,18
4,2019-06,16
4,2019-07,6
4,2019-08,11
4,2019-09,6
4,2019-10,11
4,2019-11,6
4,2019-12,1
4,2020-01,6
4,2020-02,2
4,2020-03,4
4,2020-04,5
4,2020-05,1
4,2020-07,7
4,2020-08,4
4,2020-09,4
4,2020-10,1
4,2020-11,2
4,2020-12,3
4,2021-03,2
4,2021-04,3
5,2008-04,5
5,2008-05,1
5,2008-06,4
5,2008-07,2
5,2008-09,3
5,2008-10,4
5,2008-11,6
5,2009-02,1
5,2009-03,5
5,2009-04,2
5,2009-05,2
5,2009-06,5
5,2009-07,1
5,2009-08,1
5,2009-09,2
5,2009-10,5
5,2009-11,1
5,2009-12,4
5,2010-01,1
5,2010-03,2
5,2010-05,2
5,2010-06,7
5,2010-07,1
5,2010-08,1
5,2010-09,3
5,2010-10,4
5,2011-05,2
5,2011-06,1
5,2011-07,4
5,2011-08,3
5,2011-09,1
5,2011-10,3
5,2012-02,1
5,2012-04,1
5,2012-05,3
5,2012-06,2
5,2012-07,2
5,2012-08,1
5,2012-09,4
5,2012-10,5
5,2012-11,1
5,2013-02,1
5,2013-03,1
5,2013-05,6
5,2013-06,2
5,2013-07,1
5,2013-08,2
